ID,x0,x1
0,0.0,0.0
1,0.0,1.0
2,0.0,2.0
3,0.0,3.0
4,0.0,4.0
5,0.0,5.0
6,0.0,6.0
7,0.0,7.0
8,0.0,8.0
9,0.0,9.0
10,0.0,10.0
11,0.0,11.0
12,0.0,12.0
13,0.0,13.0
14,0.0,14.0
15,0.0,15.0
16,0.0,16.0
17,0.0,17.0
18,0.0,18.0
19,0.0,19.0
20,0.0,20.0
21,0.0,21.0
22,0.0,22.0
23,0.0,23.0
24,0.0,24.0
25,0.0,25.0
26,0.0,26.0
27,0.0,27.0
28,0.0,28.0
29,0.0,29.0
30,0.0,30.0
31,0.0,31.0
32,0.0,32.0
33,0.0,33.0
34,0.0,34.0
35,0.0,35.0
36,0.0,36.0
37,0.0,37.0
38,0.0,38.0
39,0.0,39.0
40,0.0,40.0
41,1.0,0.0
42,1.0,1.0
43,1.0,2.0
44,1.0,3.0
45,1.0,4.0
46,1.0,5.0
47,1.0,6.0
48,1.0,7.0
49,1.0,8.0
50,1.0,9.0
51,1.0,10.0
52,1.0,11.0
53,1.0,12.0
54,1.0,13.0
55,1.0,14.0
56,1.0,15.0
57,1.0,16.0
58,1.0,17.0
59,1.0,18.0
60,1.0,19.0
61,1.0,20.0
62,1.0,21.0
63,1.0,22.0
64,1.0,23.0
65,1.0,24.0
66,1.0,25.0
67,1.0,26.0
68,1.0,27.0
69,1.0,28.0
70,1.0,29.0
71,1.0,30.0
72,1.0,31.0
73,1.0,32.0
74,1.0,33.0
75,1.0,34.0
76,1.0,35.0
77,1.0,36.0
78,1.0,37.0
79,1.0,38.0
80,1.0,39.0
81,1.0,40.0
82,2.0,0.0
83,2.0,1.0
84,2.0,2.0
85,2.0,3.0
86,2.0,4.0
87,2.0,5.0
88,2.0,6.0
89,2.0,7.0
90,2.0,8.0
91,2.0,9.0
92,2.0,10.0
93,2.0,11.0
94,2.0,12.0
95,2.0,13.0
96,2.0,14.0
97,2.0,15.0
98,2.0,16.0
99,2.0,17.0
100,2.0,18.0
101,2.0,19.0
102,2.0,20.0
103,2.0,21.0
104,2.0,22.0
105,2.0,23.0
106,2.0,24.0
107,2.0,25.0
108,2.0,26.0
109,2.0,27.0
110,2.0,28.0
111,2.0,29.0
112,2.0,30.0
113,2.0,31.0
114,2.0,32.0
115,2.0,33.0
116,2.0,34.0
117,2.0,35.0
118,2.0,36.0
119,2.0,37.0
120,2.0,38.0
121,2.0,39.0
122,2.0,40.0
123,3.0,0.0
124,3.0,1.0
125,3.0,2.0
126,3.0,3.0
127,3.0,4.0
128,3.0,5.0
129,3.0,6.0
130,3.0,7.0
131,3.0,8.0
132,3.0,9.0
133,3.0,10.0
134,3.0,11.0
135,3.0,12.0
136,3.0,13.0
137,3.0,14.0
138,3.0,15.0
139,3.0,16.0
140,3.0,17.0
141,3.0,18.0
142,3.0,19.0
143,3.0,20.0
144,3.0,21.0
145,3.0,22.0
146,3.0,23.0
147,3.0,24.0
148,3.0,25.0
149,3.0,26.0
150,3.0,27.0
151,3.0,28.0
152,3.0,29.0
153,3.0,30.0
154,3.0,31.0
155,3.0,32.0
156,3.0,33.0
157,3.0,34.0
158,3.0,35.0
159,3.0,36.0
160,3.0,37.0
161,3.0,38.0
162,3.0,39.0
163,3.0,40.0
164,4.0,0.0
165,4.0,1.0
166,4.0,2.0
167,4.0,3.0
168,4.0,4.0
169,4.0,5.0
170,4.0,6.0
171,4.0,7.0
172,4.0,8.0
173,4.0,9.0
174,4.0,10.0
175,4.0,11.0
176,4.0,12.0
177,4.0,13.0
178,4.0,14.0
179,4.0,15.0
180,4.0,16.0
181,4.0,17.0
182,4.0,18.0
183,4.0,19.0
184,4.0,20.0
185,4.0,21.0
186,4.0,22.0
187,4.0,23.0
188,4.0,24.0
189,4.0,25.0
190,4.0,26.0
191,4.0,27.0
192,4.0,28.0
193,4.0,29.0
194,4.0,30.0
195,4.0,31.0
196,4.0,32.0
197,4.0,33.0
198,4.0,34.0
199,4.0,35.0
200,4.0,36.0
201,4.0,37.0
202,4.0,38.0
203,4.0,39.0
204,4.0,40.0
205,5.0,0.0
206,5.0,1.0
207,5.0,2.0
208,5.0,3.0
209,5.0,4.0
210,5.0,5.0
211,5.0,6.0
212,5.0,7.0
213,5.0,8.0
214,5.0,9.0
215,5.0,10.0
216,5.0,11.0
217,5.0,12.0
218,5.0,13.0
219,5.0,14.0
220,5.0,15.0
221,5.0,16.0
222,5.0,17.0
223,5.0,18.0
224,5.0,19.0
225,5.0,20.0
226,5.0,21.0
227,5.0,22.0
228,5.0,23.0
229,5.0,24.0
230,5.0,25.0
231,5.0,26.0
232,5.0,27.0
233,5.0,28.0
234,5.0,29.0
235,5.0,30.0
236,5.0,31.0
237,5.0,32.0
238,5.0,33.0
239,5.0,34.0
240,5.0,35.0
241,5.0,36.0
242,5.0,37.0
243,5.0,38.0
244,5.0,39.0
245,5.0,40.0
246,6.0,0.0
247,6.0,1.0
248,6.0,2.0
249,6.0,3.0
250,6.0,4.0
251,6.0,5.0
252,6.0,6.0
253,6.0,7.0
254,6.0,8.0
255,6.0,9.0
256,6.0,10.0
257,6.0,11.0
258,6.0,12.0
259,6.0,13.0
260,6.0,14.0
261,6.0,15.0
262,6.0,16.0
263,6.0,17.0
264,6.0,18.0
265,6.0,19.0
266,6.0,20.0
267,6.0,21.0
268,6.0,22.0
269,6.0,23.0
270,6.0,24.0
271,6.0,25.0
272,6.0,26.0
273,6.0,27.0
274,6.0,28.0
275,6.0,29.0
276,6.0,30.0
277,6.0,31.0
278,6.0,32.0
279,6.0,33.0
280,6.0,34.0
281,6.0,35.0
282,6.0,36.0
283,6.0,37.0
284,6.0,38.0
285,6.0,39.0
286,6.0,40.0
287,7.0,0.0
288,7.0,1.0
289,7.0,2.0
290,7.0,3.0
291,7.0,4.0
292,7.0,5.0
293,7.0,6.0
294,7.0,7.0
295,7.0,8.0
296,7.0,9.0
297,7.0,10.0
298,7.0,11.0
299,7.0,12.0
300,7.0,13.0
301,7.0,14.0
302,7.0,15.0
303,7.0,16.0
304,7.0,17.0
305,7.0,18.0
306,7.0,19.0
307,7.0,20.0
308,7.0,21.0
309,7.0,22.0
310,7.0,23.0
311,7.0,24.0
312,7.0,25.0
313,7.0,26.0
314,7.0,27.0
315,7.0,28.0
316,7.0,29.0
317,7.0,30.0
318,7.0,31.0
319,7.0,32.0
320,7.0,33.0
321,7.0,34.0
322,7.0,35.0
323,7.0,36.0
324,7.0,37.0
325,7.0,38.0
326,7.0,39.0
327,7.0,40.0
328,8.0,0.0
329,8.0,1.0
330,8.0,2.0
331,8.0,3.0
332,8.0,4.0
333,8.0,5.0
334,8.0,6.0
335,8.0,7.0
336,8.0,8.0
337,8.0,9.0
338,8.0,10.0
339,8.0,11.0
340,8.0,12.0
341,8.0,13.0
342,8.0,14.0
343,8.0,15.0
344,8.0,16.0
345,8.0,17.0
346,8.0,18.0
347,8.0,19.0
348,8.0,20.0
349,8.0,21.0
350,8.0,22.0
351,8.0,23.0
352,8.0,24.0
353,8.0,25.0
354,8.0,26.0
355,8.0,27.0
356,8.0,28.0
357,8.0,29.0
358,8.0,30.0
359,8.0,31.0
360,8.0,32.0
361,8.0,33.0
362,8.0,34.0
363,8.0,35.0
364,8.0,36.0
365,8.0,37.0
366,8.0,38.0
367,8.0,39.0
368,8.0,40.0
369,9.0,0.0
370,9.0,1.0
371,9.0,2.0
372,9.0,3.0
373,9.0,4.0
374,9.0,5.0
375,9.0,6.0
376,9.0,7.0
377,9.0,8.0
378,9.0,9.0
379,9.0,10.0
380,9.0,11.0
381,9.0,12.0
382,9.0,13.0
383,9.0,14.0
384,9.0,15.0
385,9.0,16.0
386,9.0,17.0
387,9.0,18.0
388,9.0,19.0
389,9.0,20.0
390,9.0,21.0
391,9.0,22.0
392,9.0,23.0
393,9.0,24.0
394,9.0,25.0
395,9.0,26.0
396,9.0,27.0
397,9.0,28.0
398,9.0,29.0
399,9.0,30.0
400,9.0,31.0
401,9.0,32.0
402,9.0,33.0
403,9.0,34.0
404,9.0,35.0
405,9.0,36.0
406,9.0,37.0
407,9.0,38.0
408,9.0,39.0
