ID,n0,n1,n3,n4
0,0,21,22,1
1,1,22,23,2
2,2,23,24,3
3,3,24,25,4
4,4,25,26,5
5,5,26,27,6
6,6,27,28,7
7,7,28,29,8
8,8,29,30,9
9,9,30,31,10
10,10,31,32,11
11,11,32,33,12
12,12,33,34,13
13,13,34,35,14
14,14,35,36,15
15,15,36,37,16
16,16,37,38,17
17,17,38,39,18
18,18,39,40,19
19,19,40,41,20
20,21,42,43,22
21,22,43,44,23
22,23,44,45,24
23,24,45,46,25
24,25,46,47,26
25,26,47,48,27
26,27,48,49,28
27,28,49,50,29
28,29,50,51,30
29,30,51,52,31
30,31,52,53,32
31,32,53,54,33
32,33,54,55,34
33,34,55,56,35
34,35,56,57,36
35,36,57,58,37
36,37,58,59,38
37,38,59,60,39
38,39,60,61,40
39,40,61,62,41
40,42,63,64,43
41,43,64,65,44
42,44,65,66,45
43,45,66,67,46
44,46,67,68,47
45,47,68,69,48
46,48,69,70,49
47,49,70,71,50
48,50,71,72,51
49,51,72,73,52
50,52,73,74,53
51,53,74,75,54
52,54,75,76,55
53,55,76,77,56
54,56,77,78,57
55,57,78,79,58
56,58,79,80,59
57,59,80,81,60
58,60,81,82,61
59,61,82,83,62
60,63,84,85,64
61,64,85,86,65
62,65,86,87,66
63,66,87,88,67
64,67,88,89,68
65,68,89,90,69
66,69,90,91,70
67,70,91,92,71
68,71,92,93,72
69,72,93,94,73
70,73,94,95,74
71,74,95,96,75
72,75,96,97,76
73,76,97,98,77
74,77,98,99,78
75,78,99,100,79
76,79,100,101,80
77,80,101,102,81
78,81,102,103,82
79,82,103,104,83
80,84,105,106,85
81,85,106,107,86
82,86,107,108,87
83,87,108,109,88
84,88,109,110,89
85,89,110,111,90
86,90,111,112,91
87,91,112,113,92
88,92,113,114,93
89,93,114,115,94
90,94,115,116,95
91,95,116,117,96
92,96,117,118,97
93,97,118,119,98
94,98,119,120,99
95,99,120,121,100
96,100,121,122,101
97,101,122,123,102
98,102,123,124,103
99,103,124,125,104
100,105,126,127,106
101,106,127,128,107
102,107,128,129,108
103,108,129,130,109
104,109,130,131,110
105,110,131,132,111
106,111,132,133,112
107,112,133,134,113
108,113,134,135,114
109,114,135,136,115
110,115,136,137,116
111,116,137,138,117
112,117,138,139,118
113,118,139,140,119
114,119,140,141,120
115,120,141,142,121
116,121,142,143,122
117,122,143,144,123
118,123,144,145,124
119,124,145,146,125
120,126,147,148,127
121,127,148,149,128
122,128,149,150,129
123,129,150,151,130
124,130,151,152,131
125,131,152,153,132
126,132,153,154,133
127,133,154,155,134
128,134,155,156,135
129,135,156,157,136
130,136,157,158,137
131,137,158,159,138
132,138,159,160,139
133,139,160,161,140
134,140,161,162,141
135,141,162,163,142
136,142,163,164,143
137,143,164,165,144
138,144,165,166,145
139,145,166,167,146
140,147,168,169,148
141,148,169,170,149
142,149,170,171,150
143,150,171,172,151
144,151,172,173,152
145,152,173,174,153
146,153,174,175,154
147,154,175,176,155
148,155,176,177,156
149,156,177,178,157
150,157,178,179,158
151,158,179,180,159
152,159,180,181,160
153,160,181,182,161
154,161,182,183,162
155,162,183,184,163
156,163,184,185,164
157,164,185,186,165
158,165,186,187,166
159,166,187,188,167
160,168,189,190,169
161,169,190,191,170
162,170,191,192,171
163,171,192,193,172
164,172,193,194,173
165,173,194,195,174
166,174,195,196,175
167,175,196,197,176
168,176,197,198,177
169,177,198,199,178
170,178,199,200,179
171,179,200,201,180
172,180,201,202,181
173,181,202,203,182
174,182,203,204,183
175,183,204,205,184
176,184,205,206,185
177,185,206,207,186
178,186,207,208,187
179,187,208,209,188
180,189,210,211,190
181,190,211,212,191
182,191,212,213,192
183,192,213,214,193
184,193,214,215,194
185,194,215,216,195
186,195,216,217,196
187,196,217,218,197
188,197,218,219,198
189,198,219,220,199
190,199,220,221,200
191,200,221,222,201
192,201,222,223,202
193,202,223,224,203
194,203,224,225,204
195,204,225,226,205
196,205,226,227,206
197,206,227,228,207
198,207,228,229,208
199,208,229,230,209
200,210,231,232,211
201,211,232,233,212
202,212,233,234,213
203,213,234,235,214
204,214,235,236,215
205,215,236,237,216
206,216,237,238,217
207,217,238,239,218
208,218,239,240,219
209,219,240,241,220
210,220,241,242,221
211,221,242,243,222
212,222,243,244,223
213,223,244,245,224
214,224,245,246,225
215,225,246,247,226
216,226,247,248,227
217,227,248,249,228
218,228,249,250,229
219,229,250,251,230
220,231,252,253,232
221,232,253,254,233
222,233,254,255,234
223,234,255,256,235
224,235,256,257,236
225,236,257,258,237
226,237,258,259,238
227,238,259,260,239
228,239,260,261,240
229,240,261,262,241
230,241,262,263,242
231,242,263,264,243
232,243,264,265,244
233,244,265,266,245
234,245,266,267,246
235,246,267,268,247
236,247,268,269,248
237,248,269,270,249
238,249,270,271,250
239,250,271,272,251
240,252,273,274,253
241,253,274,275,254
242,254,275,276,255
243,255,276,277,256
244,256,277,278,257
245,257,278,279,258
246,258,279,280,259
247,259,280,281,260
248,260,281,282,261
249,261,282,283,262
250,262,283,284,263
251,263,284,285,264
252,264,285,286,265
253,265,286,287,266
254,266,287,288,267
255,267,288,289,268
256,268,289,290,269
257,269,290,291,270
258,270,291,292,271
259,271,292,293,272
260,273,294,295,274
261,274,295,296,275
262,275,296,297,276
263,276,297,298,277
264,277,298,299,278
265,278,299,300,279
266,279,300,301,280
267,280,301,302,281
268,281,302,303,282
269,282,303,304,283
270,283,304,305,284
271,284,305,306,285
272,285,306,307,286
273,286,307,308,287
274,287,308,309,288
275,288,309,310,289
276,289,310,311,290
277,290,311,312,291
278,291,312,313,292
279,292,313,314,293
280,294,315,316,295
281,295,316,317,296
282,296,317,318,297
283,297,318,319,298
284,298,319,320,299
285,299,320,321,300
286,300,321,322,301
287,301,322,323,302
288,302,323,324,303
289,303,324,325,304
290,304,325,326,305
291,305,326,327,306
292,306,327,328,307
293,307,328,329,308
294,308,329,330,309
295,309,330,331,310
296,310,331,332,311
297,311,332,333,312
298,312,333,334,313
299,313,334,335,314
300,315,336,337,316
301,316,337,338,317
302,317,338,339,318
303,318,339,340,319
304,319,340,341,320
305,320,341,342,321
306,321,342,343,322
307,322,343,344,323
308,323,344,345,324
309,324,345,346,325
310,325,346,347,326
311,326,347,348,327
312,327,348,349,328
313,328,349,350,329
314,329,350,351,330
315,330,351,352,331
316,331,352,353,332
317,332,353,354,333
318,333,354,355,334
319,334,355,356,335
320,336,357,358,337
321,337,358,359,338
322,338,359,360,339
323,339,360,361,340
324,340,361,362,341
325,341,362,363,342
326,342,363,364,343
327,343,364,365,344
328,344,365,366,345
329,345,366,367,346
330,346,367,368,347
331,347,368,369,348
332,348,369,370,349
333,349,370,371,350
334,350,371,372,351
335,351,372,373,352
336,352,373,374,353
337,353,374,375,354
338,354,375,376,355
339,355,376,377,356
340,357,378,379,358
341,358,379,380,359
342,359,380,381,360
343,360,381,382,361
344,361,382,383,362
345,362,383,384,363
346,363,384,385,364
347,364,385,386,365
348,365,386,387,366
349,366,387,388,367
350,367,388,389,368
351,368,389,390,369
352,369,390,391,370
353,370,391,392,371
354,371,392,393,372
355,372,393,394,373
356,373,394,395,374
357,374,395,396,375
358,375,396,397,376
359,376,397,398,377
360,378,399,400,379
361,379,400,401,380
362,380,401,402,381
363,381,402,403,382
364,382,403,404,383
365,383,404,405,384
366,384,405,406,385
367,385,406,407,386
368,386,407,408,387
369,387,408,409,388
370,388,409,410,389
371,389,410,411,390
372,390,411,412,391
373,391,412,413,392
374,392,413,414,393
375,393,414,415,394
376,394,415,416,395
377,395,416,417,396
378,396,417,418,397
379,397,418,419,398
380,399,420,421,400
381,400,421,422,401
382,401,422,423,402
383,402,423,424,403
384,403,424,425,404
385,404,425,426,405
386,405,426,427,406
387,406,427,428,407
388,407,428,429,408
389,408,429,430,409
390,409,430,431,410
391,410,431,432,411
392,411,432,433,412
393,412,433,434,413
394,413,434,435,414
395,414,435,436,415
396,415,436,437,416
397,416,437,438,417
398,417,438,439,418
399,418,439,440,419
