ID,x0,x1
0,0.0,0.0
1,0.0,0.01
2,0.0,0.02
3,0.0,0.03
4,0.0,0.04
5,0.0,0.05
6,0.0,0.06
7,0.0,0.07
8,0.0,0.08
9,0.0,0.09
10,0.0,0.1
11,0.0,0.11
12,0.0,0.12
13,0.0,0.13
14,0.0,0.14
15,0.0,0.15
16,0.0,0.16
17,0.0,0.17
18,0.0,0.18
19,0.0,0.19
20,0.0,0.2
21,0.0,0.21
22,0.0,0.22
23,0.0,0.23
24,0.0,0.24
25,0.0,0.25
26,0.0,0.26
27,0.0,0.27
28,0.0,0.28
29,0.0,0.29
30,0.0,0.3
31,0.0,0.31
32,0.0,0.32
33,0.0,0.33
34,0.0,0.34
35,0.0,0.35000000000000003
36,0.0,0.36
37,0.0,0.37
38,0.0,0.38
39,0.0,0.39
40,0.0,0.4
41,0.0,0.41000000000000003
42,0.0,0.42
43,0.0,0.43
44,0.0,0.44
45,0.0,0.45
46,0.0,0.46
47,0.0,0.47000000000000003
48,0.0,0.48
49,0.0,0.49
50,0.0,0.5
51,0.0,0.51
52,0.0,0.52
53,0.0,0.53
54,0.0,0.54
55,0.0,0.55
56,0.0,0.56
57,0.0,0.5700000000000001
58,0.0,0.58
59,0.0,0.59
60,0.0,0.6
61,0.0,0.61
62,0.0,0.62
63,0.0,0.63
64,0.0,0.64
65,0.0,0.65
66,0.0,0.66
67,0.0,0.67
68,0.0,0.68
69,0.0,0.6900000000000001
70,0.0,0.7000000000000001
71,0.0,0.71
72,0.0,0.72
73,0.0,0.73
74,0.0,0.74
75,0.0,0.75
76,0.0,0.76
77,0.0,0.77
78,0.0,0.78
79,0.0,0.79
80,0.0,0.8
81,0.0,0.81
82,0.0,0.8200000000000001
83,0.0,0.8300000000000001
84,0.0,0.84
85,0.0,0.85
86,0.0,0.86
87,0.0,0.87
88,0.0,0.88
89,0.0,0.89
90,0.0,0.9
91,0.0,0.91
92,0.0,0.92
93,0.0,0.93
94,0.0,0.9400000000000001
95,0.0,0.9500000000000001
96,0.0,0.96
97,0.0,0.97
98,0.0,0.98
99,0.0,0.99
100,0.0,1.0
101,0.01,0.0
102,0.01,0.01
103,0.01,0.02
104,0.01,0.03
105,0.01,0.04
106,0.01,0.05
107,0.01,0.06
108,0.01,0.07
109,0.01,0.08
110,0.01,0.09
111,0.01,0.1
112,0.01,0.11
113,0.01,0.12
114,0.01,0.13
115,0.01,0.14
116,0.01,0.15
117,0.01,0.16
118,0.01,0.17
119,0.01,0.18
120,0.01,0.19
121,0.01,0.2
122,0.01,0.21
123,0.01,0.22
124,0.01,0.23
125,0.01,0.24
126,0.01,0.25
127,0.01,0.26
128,0.01,0.27
129,0.01,0.28
130,0.01,0.29
131,0.01,0.3
132,0.01,0.31
133,0.01,0.32
134,0.01,0.33
135,0.01,0.34
136,0.01,0.35000000000000003
137,0.01,0.36
138,0.01,0.37
139,0.01,0.38
140,0.01,0.39
141,0.01,0.4
142,0.01,0.41000000000000003
143,0.01,0.42
144,0.01,0.43
145,0.01,0.44
146,0.01,0.45
147,0.01,0.46
148,0.01,0.47000000000000003
149,0.01,0.48
150,0.01,0.49
151,0.01,0.5
152,0.01,0.51
153,0.01,0.52
154,0.01,0.53
155,0.01,0.54
156,0.01,0.55
157,0.01,0.56
158,0.01,0.5700000000000001
159,0.01,0.58
160,0.01,0.59
161,0.01,0.6
162,0.01,0.61
163,0.01,0.62
164,0.01,0.63
165,0.01,0.64
166,0.01,0.65
167,0.01,0.66
168,0.01,0.67
169,0.01,0.68
170,0.01,0.6900000000000001
171,0.01,0.7000000000000001
172,0.01,0.71
173,0.01,0.72
174,0.01,0.73
175,0.01,0.74
176,0.01,0.75
177,0.01,0.76
178,0.01,0.77
179,0.01,0.78
180,0.01,0.79
181,0.01,0.8
182,0.01,0.81
183,0.01,0.8200000000000001
184,0.01,0.8300000000000001
185,0.01,0.84
186,0.01,0.85
187,0.01,0.86
188,0.01,0.87
189,0.01,0.88
190,0.01,0.89
191,0.01,0.9
192,0.01,0.91
193,0.01,0.92
194,0.01,0.93
195,0.01,0.9400000000000001
196,0.01,0.9500000000000001
197,0.01,0.96
198,0.01,0.97
199,0.01,0.98
200,0.01,0.99
201,0.01,1.0
202,0.02,0.0
203,0.02,0.01
204,0.02,0.02
205,0.02,0.03
206,0.02,0.04
207,0.02,0.05
208,0.02,0.06
209,0.02,0.07
210,0.02,0.08
211,0.02,0.09
212,0.02,0.1
213,0.02,0.11
214,0.02,0.12
215,0.02,0.13
216,0.02,0.14
217,0.02,0.15
218,0.02,0.16
219,0.02,0.17
220,0.02,0.18
221,0.02,0.19
222,0.02,0.2
223,0.02,0.21
224,0.02,0.22
225,0.02,0.23
226,0.02,0.24
227,0.02,0.25
228,0.02,0.26
229,0.02,0.27
230,0.02,0.28
231,0.02,0.29
232,0.02,0.3
233,0.02,0.31
234,0.02,0.32
235,0.02,0.33
236,0.02,0.34
237,0.02,0.35000000000000003
238,0.02,0.36
239,0.02,0.37
240,0.02,0.38
241,0.02,0.39
242,0.02,0.4
243,0.02,0.41000000000000003
244,0.02,0.42
245,0.02,0.43
246,0.02,0.44
247,0.02,0.45
248,0.02,0.46
249,0.02,0.47000000000000003
250,0.02,0.48
251,0.02,0.49
252,0.02,0.5
253,0.02,0.51
254,0.02,0.52
255,0.02,0.53
256,0.02,0.54
257,0.02,0.55
258,0.02,0.56
259,0.02,0.5700000000000001
260,0.02,0.58
261,0.02,0.59
262,0.02,0.6
263,0.02,0.61
264,0.02,0.62
265,0.02,0.63
266,0.02,0.64
267,0.02,0.65
268,0.02,0.66
269,0.02,0.67
270,0.02,0.68
271,0.02,0.6900000000000001
272,0.02,0.7000000000000001
273,0.02,0.71
274,0.02,0.72
275,0.02,0.73
276,0.02,0.74
277,0.02,0.75
278,0.02,0.76
279,0.02,0.77
280,0.02,0.78
281,0.02,0.79
282,0.02,0.8
283,0.02,0.81
284,0.02,0.8200000000000001
285,0.02,0.8300000000000001
286,0.02,0.84
287,0.02,0.85
288,0.02,0.86
289,0.02,0.87
290,0.02,0.88
291,0.02,0.89
292,0.02,0.9
293,0.02,0.91
294,0.02,0.92
295,0.02,0.93
296,0.02,0.9400000000000001
297,0.02,0.9500000000000001
298,0.02,0.96
299,0.02,0.97
300,0.02,0.98
301,0.02,0.99
302,0.02,1.0
303,0.03,0.0
304,0.03,0.01
305,0.03,0.02
306,0.03,0.03
307,0.03,0.04
308,0.03,0.05
309,0.03,0.06
310,0.03,0.07
311,0.03,0.08
312,0.03,0.09
313,0.03,0.1
314,0.03,0.11
315,0.03,0.12
316,0.03,0.13
317,0.03,0.14
318,0.03,0.15
319,0.03,0.16
320,0.03,0.17
321,0.03,0.18
322,0.03,0.19
323,0.03,0.2
324,0.03,0.21
325,0.03,0.22
326,0.03,0.23
327,0.03,0.24
328,0.03,0.25
329,0.03,0.26
330,0.03,0.27
331,0.03,0.28
332,0.03,0.29
333,0.03,0.3
334,0.03,0.31
335,0.03,0.32
336,0.03,0.33
337,0.03,0.34
338,0.03,0.35000000000000003
339,0.03,0.36
340,0.03,0.37
341,0.03,0.38
342,0.03,0.39
343,0.03,0.4
344,0.03,0.41000000000000003
345,0.03,0.42
346,0.03,0.43
347,0.03,0.44
348,0.03,0.45
349,0.03,0.46
350,0.03,0.47000000000000003
351,0.03,0.48
352,0.03,0.49
353,0.03,0.5
354,0.03,0.51
355,0.03,0.52
356,0.03,0.53
357,0.03,0.54
358,0.03,0.55
359,0.03,0.56
360,0.03,0.5700000000000001
361,0.03,0.58
362,0.03,0.59
363,0.03,0.6
364,0.03,0.61
365,0.03,0.62
366,0.03,0.63
367,0.03,0.64
368,0.03,0.65
369,0.03,0.66
370,0.03,0.67
371,0.03,0.68
372,0.03,0.6900000000000001
373,0.03,0.7000000000000001
374,0.03,0.71
375,0.03,0.72
376,0.03,0.73
377,0.03,0.74
378,0.03,0.75
379,0.03,0.76
