id,r
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
10100,0
10101,0
10102,0
10103,0
10104,0
10105,0
10106,0
10107,0
10108,0
10109,0
10110,0
10111,0
10112,0
10113,0
10114,0
10115,0
10116,0
10117,0
10118,0
10119,0
10120,0
10121,0
10122,0
10123,0
10124,0
10125,0
10126,0
10127,0
10128,0
10129,0
10130,0
10131,0
10132,0
10133,0
10134,0
10135,0
10136,0
10137,0
10138,0
10139,0
10140,0
10141,0
10142,0
10143,0
10144,0
10145,0
10146,0
10147,0
10148,0
10149,0
10150,0
10151,0
10152,0
10153,0
10154,0
10155,0
10156,0
10157,0
10158,0
10159,0
10160,0
10161,0
10162,0
10163,0
10164,0
10165,0
10166,0
10167,0
10168,0
10169,0
10170,0
10171,0
10172,0
10173,0
10174,0
10175,0
10176,0
10177,0
10178,0
10179,0
10180,0
10181,0
10182,0
10183,0
10184,0
10185,0
10186,0
10187,0
10188,0
10189,0
10190,0
10191,0
10192,0
10193,0
10194,0
10195,0
10196,0
10197,0
10198,0
10199,0
10200,0
9999,0
9898,0
9797,0
9696,0
9595,0
9494,0
9393,0
9292,0
9191,0
9090,0
8989,0
8888,0
8787,0
8686,0
8585,0
8484,0
8383,0
8282,0
8181,0
8080,0
7979,0
7878,0
7777,0
7676,0
7575,0
7474,0
7373,0
7272,0
7171,0
7070,0
6969,0
6868,0
6767,0
6666,0
6565,0
6464,0
6363,0
6262,0
6161,0
6060,0
5959,0
5858,0
5757,0
5656,0
5555,0
5454,0
5353,0
5252,0
5151,0
5050,0
4949,0
4848,0
4747,0
4646,0
4545,0
4444,0
4343,0
4242,0
4141,0
4040,0
3939,0
3838,0
3737,0
3636,0
3535,0
3434,0
3333,0
3232,0
3131,0
3030,0
2929,0
2828,0
2727,0
2626,0
2525,0
2424,0
2323,0
2222,0
2121,0
2020,0
1919,0
1818,0
1717,0
1616,0
1515,0
1414,0
1313,0
1212,0
1111,0
1010,0
909,0
808,0
707,0
606,0
505,0
404,0
303,0
202,0
101,0
10099,1
9998,1
9897,1
9796,1
9695,1
9594,1
9493,1
9392,1
9291,1
9190,1
9089,1
8988,1
8887,1
8786,1
8685,1
8584,1
8483,1
8382,1
8281,1
8180,1
8079,1
7978,1
7877,1
7776,1
7675,1
7574,1
7473,1
7372,1
7271,1
7170,1
7069,1
6968,1
6867,1
6766,1
6665,1
6564,1
6463,1
6362,1
6261,1
6160,1
6059,1
5958,1
5857,1
5756,1
5655,1
5554,1
5453,1
5352,1
5251,1
5150,1
5049,1
4948,1
4847,1
4746,1
4645,1
4544,1
4443,1
4342,1
4241,1
4140,1
4039,1
3938,1
3837,1
3736,1
3635,1
3534,1
3433,1
3332,1
3231,1
3130,1
3029,1
2928,1
2827,1
2726,1
2625,1
2524,1
2423,1
2322,1
2221,1
2120,1
2019,1
1918,1
1817,1
1716,1
1615,1
1514,1
1413,1
1312,1
1211,1
1110,1
1009,1
908,1
807,1
706,1
605,1
504,1
403,1
302,1
201,1
