id,n0,n1,n2,n3
0,0,32,33,1
1,1,33,34,2
2,2,34,35,3
3,3,35,36,4
4,4,36,37,5
5,5,37,38,6
6,6,38,39,7
7,7,39,40,8
8,8,40,41,9
9,9,41,42,10
10,10,42,43,11
11,11,43,44,12
12,12,44,45,13
13,13,45,46,14
14,14,46,47,15
15,15,47,48,16
16,16,48,49,17
17,17,49,50,18
18,18,50,51,19
19,19,51,52,20
20,20,52,53,21
21,21,53,54,22
22,22,54,55,23
23,23,55,56,24
24,24,56,57,25
25,25,57,58,26
26,26,58,59,27
27,27,59,60,28
28,28,60,61,29
29,29,61,62,30
30,30,62,63,31
31,31,63,32,0
32,32,64,65,33
33,33,65,66,34
34,34,66,67,35
35,35,67,68,36
36,36,68,69,37
37,37,69,70,38
38,38,70,71,39
39,39,71,72,40
40,40,72,73,41
41,41,73,74,42
42,42,74,75,43
43,43,75,76,44
44,44,76,77,45
45,45,77,78,46
46,46,78,79,47
47,47,79,80,48
48,48,80,81,49
49,49,81,82,50
50,50,82,83,51
51,51,83,84,52
52,52,84,85,53
53,53,85,86,54
54,54,86,87,55
55,55,87,88,56
56,56,88,89,57
57,57,89,90,58
58,58,90,91,59
59,59,91,92,60
60,60,92,93,61
61,61,93,94,62
62,62,94,95,63
63,63,95,64,32
64,64,96,97,65
65,65,97,98,66
66,66,98,99,67
67,67,99,100,68
68,68,100,101,69
69,69,101,102,70
70,70,102,103,71
71,71,103,104,72
72,72,104,105,73
73,73,105,106,74
74,74,106,107,75
75,75,107,108,76
76,76,108,109,77
77,77,109,110,78
78,78,110,111,79
79,79,111,112,80
80,80,112,113,81
81,81,113,114,82
82,82,114,115,83
83,83,115,116,84
84,84,116,117,85
85,85,117,118,86
86,86,118,119,87
87,87,119,120,88
88,88,120,121,89
89,89,121,122,90
90,90,122,123,91
91,91,123,124,92
92,92,124,125,93
93,93,125,126,94
94,94,126,127,95
95,95,127,96,64
96,96,128,129,97
97,97,129,130,98
98,98,130,131,99
99,99,131,132,100
100,100,132,133,101
101,101,133,134,102
102,102,134,135,103
103,103,135,136,104
104,104,136,137,105
105,105,137,138,106
106,106,138,139,107
107,107,139,140,108
108,108,140,141,109
109,109,141,142,110
110,110,142,143,111
111,111,143,144,112
112,112,144,145,113
113,113,145,146,114
114,114,146,147,115
115,115,147,148,116
116,116,148,149,117
117,117,149,150,118
118,118,150,151,119
119,119,151,152,120
120,120,152,153,121
121,121,153,154,122
122,122,154,155,123
123,123,155,156,124
124,124,156,157,125
125,125,157,158,126
126,126,158,159,127
127,127,159,128,96
