Id,x,y
0,0.25,-0.25
1,0.25,-0.225
2,0.25,-0.2
3,0.25,-0.175
4,0.25,-0.15
5,0.25,-0.125
6,0.25,-0.1
7,0.25,-0.075
8,0.25,-0.05
9,0.25,-0.025
10,0.25,0
11,0.25,0.025
12,0.25,0.05
13,0.25,0.075
14,0.25,0.1
15,0.25,0.125
16,0.25,0.15
17,0.25,0.175
18,0.25,0.2
19,0.25,0.225
20,0.25,0.25
21,0.225,0.25
22,0.2,0.25
23,0.175,0.25
24,0.15,0.25
25,0.125,0.25
26,0.1,0.25
27,0.075,0.25
28,0.05,0.25
29,0.025,0.25
30,0,0.25
31,-0.025,0.25
32,-0.05,0.25
33,-0.075,0.25
34,-0.1,0.25
35,-0.125,0.25
36,-0.15,0.25
37,-0.175,0.25
38,-0.2,0.25
39,-0.225,0.25
40,-0.25,0.25
41,-0.25,0.225
42,-0.25,0.2
43,-0.25,0.175
44,-0.25,0.15
45,-0.25,0.125
46,-0.25,0.1
47,-0.25,0.075
48,-0.25,0.05
49,-0.25,0.025
50,-0.25,0
51,-0.25,-0.025
52,-0.25,-0.05
53,-0.25,-0.075
54,-0.25,-0.1
55,-0.25,-0.125
56,-0.25,-0.15
57,-0.25,-0.175
58,-0.25,-0.2
59,-0.25,-0.225
60,-0.25,-0.25
61,-0.225,-0.25
62,-0.2,-0.25
63,-0.175,-0.25
64,-0.15,-0.25
65,-0.125,-0.25
66,-0.1,-0.25
67,-0.075,-0.25
68,-0.05,-0.25
69,-0.025,-0.25
70,0,-0.25
71,0.025,-0.25
72,0.05,-0.25
73,0.075,-0.25
74,0.1,-0.25
75,0.125,-0.25
76,0.15,-0.25
77,0.175,-0.25
78,0.2,-0.25
79,0.225,-0.25
80,0.3,-0.3
81,0.3,-0.27
82,0.3,-0.24
83,0.3,-0.21
84,0.3,-0.18
85,0.3,-0.15
86,0.3,-0.12
87,0.3,-0.09
88,0.3,-0.06
89,0.3,-0.03
90,0.3,0
91,0.3,0.03
92,0.3,0.06
93,0.3,0.09
94,0.3,0.12
95,0.3,0.15
96,0.3,0.18
97,0.3,0.21
98,0.3,0.24
99,0.3,0.27
100,0.3,0.3
101,0.27,0.3
102,0.24,0.3
103,0.21,0.3
104,0.18,0.3
105,0.15,0.3
106,0.12,0.3
107,0.09,0.3
108,0.06,0.3
109,0.03,0.3
110,0,0.3
111,-0.03,0.3
112,-0.06,0.3
113,-0.09,0.3
114,-0.12,0.3
115,-0.15,0.3
116,-0.18,0.3
117,-0.21,0.3
118,-0.24,0.3
119,-0.27,0.3
120,-0.3,0.3
121,-0.3,0.27
122,-0.3,0.24
123,-0.3,0.21
124,-0.3,0.18
125,-0.3,0.15
126,-0.3,0.12
127,-0.3,0.09
128,-0.3,0.06
129,-0.3,0.03
130,-0.3,0
131,-0.3,-0.03
132,-0.3,-0.06
133,-0.3,-0.09
134,-0.3,-0.12
135,-0.3,-0.15
136,-0.3,-0.18
137,-0.3,-0.21
138,-0.3,-0.24
139,-0.3,-0.27
140,-0.3,-0.3
141,-0.27,-0.3
142,-0.24,-0.3
143,-0.21,-0.3
144,-0.18,-0.3
145,-0.15,-0.3
146,-0.12,-0.3
147,-0.09,-0.3
148,-0.06,-0.3
149,-0.03,-0.3
150,0,-0.3
151,0.03,-0.3
152,0.06,-0.3
153,0.09,-0.3
154,0.12,-0.3
155,0.15,-0.3
156,0.18,-0.3
157,0.21,-0.3
158,0.24,-0.3
159,0.27,-0.3
160,0.35,-0.35
161,0.35,-0.315
162,0.35,-0.28
163,0.35,-0.245
164,0.35,-0.21
165,0.35,-0.175
166,0.35,-0.14
167,0.35,-0.105
168,0.35,-0.07
169,0.35,-0.035
170,0.35,0
171,0.35,0.035
172,0.35,0.07
173,0.35,0.105
174,0.35,0.14
175,0.35,0.175
176,0.35,0.21
177,0.35,0.245
178,0.35,0.28
179,0.35,0.315
180,0.35,0.35
181,0.315,0.35
182,0.28,0.35
183,0.245,0.35
