ID,x0,x1
0,0.0,0.0
1,0.0,1.0
2,0.0,2.0
3,0.0,3.0
4,0.0,4.0
5,0.0,5.0
6,0.0,6.0
7,0.0,7.0
8,0.0,8.0
9,0.0,9.0
10,0.0,10.0
11,0.0,11.0
12,0.0,12.0
13,0.0,13.0
14,0.0,14.0
15,0.0,15.0
16,0.0,16.0
17,0.0,17.0
18,0.0,18.0
19,0.0,19.0
20,0.0,20.0
21,0.0,21.0
22,0.0,22.0
23,0.0,23.0
24,0.0,24.0
25,0.0,25.0
26,0.0,26.0
27,0.0,27.0
28,0.0,28.0
29,0.0,29.0
30,0.0,30.0
31,0.0,31.0
32,0.0,32.0
33,0.0,33.0
34,0.0,34.0
35,0.0,35.0
36,0.0,36.0
37,0.0,37.0
38,0.0,38.0
39,0.0,39.0
40,0.0,40.0
41,0.0,41.0
42,0.0,42.0
43,0.0,43.0
44,0.0,44.0
45,0.0,45.0
46,0.0,46.0
47,0.0,47.0
48,0.0,48.0
49,0.0,49.0
50,0.0,50.0
51,0.0,51.0
52,0.0,52.0
53,0.0,53.0
54,0.0,54.0
55,0.0,55.0
56,0.0,56.0
57,0.0,57.0
58,0.0,58.0
59,0.0,59.0
60,0.0,60.0
61,0.0,61.0
62,0.0,62.0
63,0.0,63.0
64,0.0,64.0
65,0.0,65.0
66,0.0,66.0
67,0.0,67.0
68,0.0,68.0
69,0.0,69.0
70,0.0,70.0
71,0.0,71.0
72,0.0,72.0
73,0.0,73.0
74,0.0,74.0
75,0.0,75.0
76,0.0,76.0
77,0.0,77.0
78,0.0,78.0
79,0.0,79.0
80,0.0,80.0
81,0.0,81.0
82,0.0,82.0
83,0.0,83.0
84,0.0,84.0
85,0.0,85.0
86,0.0,86.0
87,0.0,87.0
88,0.0,88.0
89,0.0,89.0
90,0.0,90.0
91,0.0,91.0
92,0.0,92.0
93,0.0,93.0
94,0.0,94.0
95,0.0,95.0
96,0.0,96.0
97,0.0,97.0
98,0.0,98.0
99,0.0,99.0
100,0.0,100.0
101,1.0,0.0
102,1.0,1.0
103,1.0,2.0
104,1.0,3.0
105,1.0,4.0
106,1.0,5.0
107,1.0,6.0
108,1.0,7.0
109,1.0,8.0
110,1.0,9.0
111,1.0,10.0
112,1.0,11.0
113,1.0,12.0
114,1.0,13.0
115,1.0,14.0
116,1.0,15.0
117,1.0,16.0
118,1.0,17.0
119,1.0,18.0
120,1.0,19.0
121,1.0,20.0
122,1.0,21.0
123,1.0,22.0
124,1.0,23.0
125,1.0,24.0
126,1.0,25.0
127,1.0,26.0
128,1.0,27.0
129,1.0,28.0
130,1.0,29.0
131,1.0,30.0
132,1.0,31.0
133,1.0,32.0
134,1.0,33.0
135,1.0,34.0
136,1.0,35.0
137,1.0,36.0
138,1.0,37.0
139,1.0,38.0
140,1.0,39.0
141,1.0,40.0
142,1.0,41.0
143,1.0,42.0
144,1.0,43.0
145,1.0,44.0
146,1.0,45.0
147,1.0,46.0
148,1.0,47.0
149,1.0,48.0
150,1.0,49.0
151,1.0,50.0
152,1.0,51.0
153,1.0,52.0
154,1.0,53.0
155,1.0,54.0
156,1.0,55.0
157,1.0,56.0
158,1.0,57.0
159,1.0,58.0
160,1.0,59.0
161,1.0,60.0
162,1.0,61.0
163,1.0,62.0
164,1.0,63.0
165,1.0,64.0
166,1.0,65.0
167,1.0,66.0
168,1.0,67.0
169,1.0,68.0
170,1.0,69.0
171,1.0,70.0
172,1.0,71.0
173,1.0,72.0
174,1.0,73.0
175,1.0,74.0
176,1.0,75.0
177,1.0,76.0
178,1.0,77.0
179,1.0,78.0
180,1.0,79.0
181,1.0,80.0
182,1.0,81.0
183,1.0,82.0
184,1.0,83.0
185,1.0,84.0
186,1.0,85.0
187,1.0,86.0
188,1.0,87.0
189,1.0,88.0
190,1.0,89.0
191,1.0,90.0
192,1.0,91.0
193,1.0,92.0
194,1.0,93.0
195,1.0,94.0
196,1.0,95.0
197,1.0,96.0
198,1.0,97.0
199,1.0,98.0
200,1.0,99.0
201,1.0,100.0
202,2.0,0.0
203,2.0,1.0
204,2.0,2.0
205,2.0,3.0
206,2.0,4.0
207,2.0,5.0
208,2.0,6.0
209,2.0,7.0
210,2.0,8.0
211,2.0,9.0
212,2.0,10.0
213,2.0,11.0
214,2.0,12.0
215,2.0,13.0
216,2.0,14.0
217,2.0,15.0
218,2.0,16.0
219,2.0,17.0
220,2.0,18.0
221,2.0,19.0
222,2.0,20.0
223,2.0,21.0
224,2.0,22.0
225,2.0,23.0
226,2.0,24.0
227,2.0,25.0
228,2.0,26.0
229,2.0,27.0
230,2.0,28.0
231,2.0,29.0
232,2.0,30.0
233,2.0,31.0
234,2.0,32.0
235,2.0,33.0
236,2.0,34.0
237,2.0,35.0
238,2.0,36.0
239,2.0,37.0
240,2.0,38.0
241,2.0,39.0
242,2.0,40.0
243,2.0,41.0
244,2.0,42.0
245,2.0,43.0
246,2.0,44.0
247,2.0,45.0
248,2.0,46.0
249,2.0,47.0
250,2.0,48.0
251,2.0,49.0
252,2.0,50.0
253,2.0,51.0
254,2.0,52.0
255,2.0,53.0
256,2.0,54.0
257,2.0,55.0
258,2.0,56.0
259,2.0,57.0
260,2.0,58.0
261,2.0,59.0
262,2.0,60.0
263,2.0,61.0
264,2.0,62.0
265,2.0,63.0
266,2.0,64.0
267,2.0,65.0
268,2.0,66.0
269,2.0,67.0
270,2.0,68.0
271,2.0,69.0
272,2.0,70.0
273,2.0,71.0
274,2.0,72.0
275,2.0,73.0
276,2.0,74.0
277,2.0,75.0
278,2.0,76.0
279,2.0,77.0
280,2.0,78.0
281,2.0,79.0
282,2.0,80.0
283,2.0,81.0
284,2.0,82.0
285,2.0,83.0
286,2.0,84.0
287,2.0,85.0
288,2.0,86.0
289,2.0,87.0
290,2.0,88.0
291,2.0,89.0
292,2.0,90.0
293,2.0,91.0
294,2.0,92.0
295,2.0,93.0
296,2.0,94.0
297,2.0,95.0
298,2.0,96.0
299,2.0,97.0
300,2.0,98.0
301,2.0,99.0
302,2.0,100.0
303,3.0,0.0
304,3.0,1.0
305,3.0,2.0
306,3.0,3.0
307,3.0,4.0
308,3.0,5.0
309,3.0,6.0
310,3.0,7.0
311,3.0,8.0
312,3.0,9.0
313,3.0,10.0
314,3.0,11.0
315,3.0,12.0
316,3.0,13.0
317,3.0,14.0
318,3.0,15.0
319,3.0,16.0
320,3.0,17.0
321,3.0,18.0
322,3.0,19.0
323,3.0,20.0
324,3.0,21.0
325,3.0,22.0
326,3.0,23.0
327,3.0,24.0
328,3.0,25.0
329,3.0,26.0
330,3.0,27.0
331,3.0,28.0
332,3.0,29.0
333,3.0,30.0
334,3.0,31.0
335,3.0,32.0
336,3.0,33.0
337,3.0,34.0
338,3.0,35.0
339,3.0,36.0
340,3.0,37.0
341,3.0,38.0
342,3.0,39.0
343,3.0,40.0
344,3.0,41.0
345,3.0,42.0
346,3.0,43.0
347,3.0,44.0
348,3.0,45.0
349,3.0,46.0
350,3.0,47.0
351,3.0,48.0
352,3.0,49.0
353,3.0,50.0
354,3.0,51.0
355,3.0,52.0
356,3.0,53.0
357,3.0,54.0
358,3.0,55.0
359,3.0,56.0
360,3.0,57.0
361,3.0,58.0
362,3.0,59.0
363,3.0,60.0
364,3.0,61.0
365,3.0,62.0
366,3.0,63.0
367,3.0,64.0
368,3.0,65.0
369,3.0,66.0
370,3.0,67.0
371,3.0,68.0
372,3.0,69.0
373,3.0,70.0
374,3.0,71.0
375,3.0,72.0
376,3.0,73.0
377,3.0,74.0
378,3.0,75.0
379,3.0,76.0
380,3.0,77.0
381,3.0,78.0
382,3.0,79.0
383,3.0,80.0
384,3.0,81.0
385,3.0,82.0
386,3.0,83.0
387,3.0,84.0
388,3.0,85.0
389,3.0,86.0
390,3.0,87.0
391,3.0,88.0
392,3.0,89.0
393,3.0,90.0
394,3.0,91.0
395,3.0,92.0
396,3.0,93.0
397,3.0,94.0
398,3.0,95.0
399,3.0,96.0
400,3.0,97.0
401,3.0,98.0
402,3.0,99.0
403,3.0,100.0
404,4.0,0.0
405,4.0,1.0
406,4.0,2.0
407,4.0,3.0
408,4.0,4.0
