ID,u0,u1
0,0,free
1,0,free
2,0,free
3,0,free
4,0,free
5,0,free
6,0,free
7,0,free
8,0,free
9,0,free
10,0,free
11,0,free
12,0,free
13,0,free
14,0,free
15,0,free
16,0,free
17,0,free
18,0,free
19,0,free
20,0,free
21,0,free
22,0,free
23,0,free
24,0,free
25,0,free
26,0,free
27,0,free
28,0,free
29,0,free
30,0,free
31,0,free
32,0,free
33,0,free
34,0,free
35,0,free
36,0,free
37,0,free
38,0,free
39,0,free
40,0,free
41,0,free
42,0,free
43,0,free
44,0,free
45,0,free
46,0,free
47,0,free
48,0,free
49,0,free
50,0,free
51,0,free
52,0,free
53,0,free
54,0,free
55,0,free
56,0,free
57,0,free
58,0,free
59,0,free
60,0,free
61,0,free
62,0,free
63,0,free
64,0,free
65,0,free
66,0,free
67,0,free
68,0,free
69,0,free
70,0,free
71,0,free
72,0,free
73,0,free
74,0,free
75,0,free
76,0,free
77,0,free
78,0,free
79,0,free
80,0,free
81,0,free
82,0,free
83,0,free
84,0,free
85,0,free
86,0,free
87,0,free
88,0,free
89,0,free
90,0,free
91,0,free
92,0,free
93,0,free
94,0,free
95,0,free
96,0,free
97,0,free
98,0,free
99,0,free
100,0,free
30300,free,0
