Id,n0,n1,n2,n3,n4,n5
0,0,2,12,1,7,6
1,2,4,14,3,9,8
2,0,12,10,6,11,5
3,2,14,12,8,13,7
4,10,12,22,11,17,16
5,12,14,24,13,19,18
6,10,22,20,16,21,15
7,12,24,22,18,23,17
8,20,22,41,21,32,31
9,22,24,43,23,34,33
10,24,26,45,25,36,35
11,26,28,47,27,38,37
12,28,30,49,29,40,39
13,22,43,41,33,42,32
14,24,45,43,35,44,34
15,26,47,45,37,46,36
16,28,49,47,39,48,38
17,41,43,60,42,52,51
18,43,45,60,44,53,52
19,45,47,62,46,55,54
20,47,49,64,48,57,56
21,41,60,58,51,59,50
22,45,62,60,54,61,53
23,47,64,62,56,63,55
24,58,60,74,59,67,66
25,60,62,76,61,69,68
26,62,64,78,63,71,70
27,58,74,72,66,73,65
28,60,76,74,68,75,67
29,62,78,76,70,77,69
