Id,x,y
0,0,3
1,0,2.75
2,0,2.5
3,0,2.25
4,0,2
5,0.75,3
6,0.75,2.75
7,0.75,2.5
8,0.75,2.25
9,0.75,2
10,1.5,3
11,1.5,2.75
12,1.5,2.5
13,1.5,2.25
14,1.5,2
15,1.75,3
16,1.75,2.75
17,1.75,2.5
18,1.75,2.25
19,1.75,2
20,2,3
21,2,2.75
22,2,2.5
23,2,2.25
24,2,2
25,2,1.75
26,2,1.5
27,2,1.25
28,2,1
29,2,0.5
30,2,0
31,2.375,3
32,2.375,2.75
33,2.375,2.25
34,2.375,2
35,2.375,1.75
36,2.375,1.5
37,2.375,1.25
38,2.375,1
39,2.375,0.5
40,2.375,0
41,2.75,3
42,2.75,2.5
43,2.75,2
44,2.75,1.75
45,2.75,1.5
46,2.75,1.25
47,2.75,1
48,2.75,0.5
49,2.75,0
50,3.25,3
51,3.25,2.5
52,3.25,2
53,3.25,1.75
54,3.25,1.25
55,3.25,1
56,3.25,0.5
57,3.25,0
58,3.75,3
59,3.75,2.5
60,3.75,2
61,3.75,1.5
62,3.75,1
63,3.75,0.5
64,3.75,0
65,4.375,3
66,4.375,2.5
67,4.375,2
68,4.375,1.5
69,4.375,1
70,4.375,0.5
71,4.375,0
72,5,3
73,5,2.5
74,5,2
75,5,1.5
76,5,1
77,5,0.5
78,5,0
