Id,X
0,3
1,2
2,3
3,2
4,3
5,2
6,3
7,2
8,3
9,2
10,2
11,2
12,2
13,2
14,2
15,2
16,2
17,2
18,3
19,2
20,3
21,2
22,3
23,2
24,3
25,2
26,3
27,2
28,2
29,2
30,2
31,2
32,2
33,2
34,2
35,2
36,3
37,2
38,3
39,2
40,3
41,2
42,3
43,2
44,3
45,2
46,2
47,2
48,2
49,2
50,2
51,2
52,2
53,2
54,3
55,2
56,3
57,2
58,3
59,2
60,3
61,2
62,3
63,2
64,2
65,2
66,2
67,2
68,2
69,2
70,2
71,2
72,3
73,2
74,3
75,2
76,3
77,2
78,3
79,2
80,3
81,2
82,2
83,2
84,2
85,2
86,2
87,2
88,2
89,2
90,3
91,2
92,3
93,2
94,3
95,2
96,3
97,2
98,3
99,2
100,2
101,2
102,2
103,2
104,2
105,2
106,2
107,2
108,3
109,2
110,3
111,2
112,3
113,2
114,3
115,2
116,3
