ID,n0,n1,n3,n4
0,0,41,42,1
1,1,42,43,2
2,2,43,44,3
3,3,44,45,4
4,4,45,46,5
5,5,46,47,6
6,6,47,48,7
7,7,48,49,8
8,8,49,50,9
9,9,50,51,10
10,10,51,52,11
11,11,52,53,12
12,12,53,54,13
13,13,54,55,14
14,14,55,56,15
15,15,56,57,16
16,16,57,58,17
17,17,58,59,18
18,18,59,60,19
19,19,60,61,20
20,20,61,62,21
21,21,62,63,22
22,22,63,64,23
23,23,64,65,24
24,24,65,66,25
25,25,66,67,26
26,26,67,68,27
27,27,68,69,28
28,28,69,70,29
29,29,70,71,30
30,30,71,72,31
31,31,72,73,32
32,32,73,74,33
33,33,74,75,34
34,34,75,76,35
35,35,76,77,36
36,36,77,78,37
37,37,78,79,38
38,38,79,80,39
39,39,80,81,40
40,41,82,83,42
41,42,83,84,43
42,43,84,85,44
43,44,85,86,45
44,45,86,87,46
45,46,87,88,47
46,47,88,89,48
47,48,89,90,49
48,49,90,91,50
49,50,91,92,51
50,51,92,93,52
51,52,93,94,53
52,53,94,95,54
53,54,95,96,55
54,55,96,97,56
55,56,97,98,57
56,57,98,99,58
57,58,99,100,59
58,59,100,101,60
59,60,101,102,61
60,61,102,103,62
61,62,103,104,63
62,63,104,105,64
63,64,105,106,65
64,65,106,107,66
65,66,107,108,67
66,67,108,109,68
67,68,109,110,69
68,69,110,111,70
69,70,111,112,71
70,71,112,113,72
71,72,113,114,73
72,73,114,115,74
73,74,115,116,75
74,75,116,117,76
75,76,117,118,77
76,77,118,119,78
77,78,119,120,79
78,79,120,121,80
79,80,121,122,81
80,82,123,124,83
81,83,124,125,84
82,84,125,126,85
83,85,126,127,86
84,86,127,128,87
85,87,128,129,88
86,88,129,130,89
87,89,130,131,90
88,90,131,132,91
89,91,132,133,92
90,92,133,134,93
91,93,134,135,94
92,94,135,136,95
93,95,136,137,96
94,96,137,138,97
95,97,138,139,98
96,98,139,140,99
97,99,140,141,100
98,100,141,142,101
99,101,142,143,102
100,102,143,144,103
101,103,144,145,104
102,104,145,146,105
103,105,146,147,106
104,106,147,148,107
105,107,148,149,108
106,108,149,150,109
107,109,150,151,110
108,110,151,152,111
109,111,152,153,112
110,112,153,154,113
111,113,154,155,114
112,114,155,156,115
113,115,156,157,116
114,116,157,158,117
115,117,158,159,118
116,118,159,160,119
117,119,160,161,120
118,120,161,162,121
119,121,162,163,122
120,123,164,165,124
121,124,165,166,125
122,125,166,167,126
123,126,167,168,127
124,127,168,169,128
125,128,169,170,129
126,129,170,171,130
127,130,171,172,131
128,131,172,173,132
129,132,173,174,133
130,133,174,175,134
131,134,175,176,135
132,135,176,177,136
133,136,177,178,137
134,137,178,179,138
135,138,179,180,139
136,139,180,181,140
137,140,181,182,141
138,141,182,183,142
139,142,183,184,143
140,143,184,185,144
141,144,185,186,145
142,145,186,187,146
143,146,187,188,147
144,147,188,189,148
145,148,189,190,149
146,149,190,191,150
147,150,191,192,151
148,151,192,193,152
149,152,193,194,153
150,153,194,195,154
151,154,195,196,155
152,155,196,197,156
153,156,197,198,157
154,157,198,199,158
155,158,199,200,159
156,159,200,201,160
157,160,201,202,161
158,161,202,203,162
159,162,203,204,163
160,164,205,206,165
161,165,206,207,166
162,166,207,208,167
163,167,208,209,168
164,168,209,210,169
165,169,210,211,170
166,170,211,212,171
167,171,212,213,172
168,172,213,214,173
169,173,214,215,174
170,174,215,216,175
171,175,216,217,176
172,176,217,218,177
173,177,218,219,178
174,178,219,220,179
175,179,220,221,180
176,180,221,222,181
177,181,222,223,182
178,182,223,224,183
179,183,224,225,184
180,184,225,226,185
181,185,226,227,186
182,186,227,228,187
183,187,228,229,188
184,188,229,230,189
185,189,230,231,190
186,190,231,232,191
187,191,232,233,192
188,192,233,234,193
189,193,234,235,194
190,194,235,236,195
191,195,236,237,196
192,196,237,238,197
193,197,238,239,198
194,198,239,240,199
195,199,240,241,200
196,200,241,242,201
197,201,242,243,202
198,202,243,244,203
199,203,244,245,204
200,205,246,247,206
201,206,247,248,207
202,207,248,249,208
203,208,249,250,209
204,209,250,251,210
205,210,251,252,211
206,211,252,253,212
207,212,253,254,213
208,213,254,255,214
209,214,255,256,215
210,215,256,257,216
211,216,257,258,217
212,217,258,259,218
213,218,259,260,219
214,219,260,261,220
215,220,261,262,221
216,221,262,263,222
217,222,263,264,223
218,223,264,265,224
219,224,265,266,225
220,225,266,267,226
221,226,267,268,227
222,227,268,269,228
223,228,269,270,229
224,229,270,271,230
225,230,271,272,231
226,231,272,273,232
227,232,273,274,233
228,233,274,275,234
229,234,275,276,235
230,235,276,277,236
231,236,277,278,237
232,237,278,279,238
233,238,279,280,239
234,239,280,281,240
235,240,281,282,241
236,241,282,283,242
237,242,283,284,243
238,243,284,285,244
239,244,285,286,245
240,246,287,288,247
241,247,288,289,248
242,248,289,290,249
243,249,290,291,250
244,250,291,292,251
245,251,292,293,252
246,252,293,294,253
247,253,294,295,254
248,254,295,296,255
249,255,296,297,256
250,256,297,298,257
251,257,298,299,258
252,258,299,300,259
253,259,300,301,260
254,260,301,302,261
255,261,302,303,262
256,262,303,304,263
257,263,304,305,264
258,264,305,306,265
259,265,306,307,266
260,266,307,308,267
261,267,308,309,268
262,268,309,310,269
263,269,310,311,270
264,270,311,312,271
265,271,312,313,272
266,272,313,314,273
267,273,314,315,274
268,274,315,316,275
269,275,316,317,276
270,276,317,318,277
271,277,318,319,278
272,278,319,320,279
273,279,320,321,280
274,280,321,322,281
275,281,322,323,282
276,282,323,324,283
277,283,324,325,284
278,284,325,326,285
279,285,326,327,286
280,287,328,329,288
281,288,329,330,289
282,289,330,331,290
283,290,331,332,291
284,291,332,333,292
285,292,333,334,293
286,293,334,335,294
287,294,335,336,295
288,295,336,337,296
289,296,337,338,297
290,297,338,339,298
291,298,339,340,299
292,299,340,341,300
293,300,341,342,301
294,301,342,343,302
295,302,343,344,303
296,303,344,345,304
297,304,345,346,305
298,305,346,347,306
299,306,347,348,307
300,307,348,349,308
301,308,349,350,309
302,309,350,351,310
303,310,351,352,311
304,311,352,353,312
305,312,353,354,313
306,313,354,355,314
307,314,355,356,315
308,315,356,357,316
309,316,357,358,317
310,317,358,359,318
311,318,359,360,319
312,319,360,361,320
313,320,361,362,321
314,321,362,363,322
315,322,363,364,323
316,323,364,365,324
317,324,365,366,325
318,325,366,367,326
319,326,367,368,327
320,328,369,370,329
321,329,370,371,330
322,330,371,372,331
323,331,372,373,332
324,332,373,374,333
325,333,374,375,334
326,334,375,376,335
327,335,376,377,336
328,336,377,378,337
329,337,378,379,338
330,338,379,380,339
331,339,380,381,340
332,340,381,382,341
333,341,382,383,342
334,342,383,384,343
335,343,384,385,344
336,344,385,386,345
337,345,386,387,346
338,346,387,388,347
339,347,388,389,348
340,348,389,390,349
341,349,390,391,350
342,350,391,392,351
343,351,392,393,352
344,352,393,394,353
345,353,394,395,354
346,354,395,396,355
347,355,396,397,356
348,356,397,398,357
349,357,398,399,358
350,358,399,400,359
351,359,400,401,360
352,360,401,402,361
353,361,402,403,362
354,362,403,404,363
355,363,404,405,364
356,364,405,406,365
357,365,406,407,366
358,366,407,408,367
359,367,408,409,368
360,369,410,411,370
361,370,411,412,371
362,371,412,413,372
363,372,413,414,373
364,373,414,415,374
365,374,415,416,375
366,375,416,417,376
367,376,417,418,377
368,377,418,419,378
369,378,419,420,379
370,379,420,421,380
371,380,421,422,381
372,381,422,423,382
373,382,423,424,383
374,383,424,425,384
375,384,425,426,385
376,385,426,427,386
377,386,427,428,387
378,387,428,429,388
379,388,429,430,389
380,389,430,431,390
381,390,431,432,391
382,391,432,433,392
383,392,433,434,393
384,393,434,435,394
385,394,435,436,395
386,395,436,437,396
387,396,437,438,397
388,397,438,439,398
389,398,439,440,399
390,399,440,441,400
391,400,441,442,401
392,401,442,443,402
393,402,443,444,403
394,403,444,445,404
395,404,445,446,405
396,405,446,447,406
397,406,447,448,407
398,407,448,449,408
399,408,449,450,409
400,410,451,452,411
401,411,452,453,412
402,412,453,454,413
403,413,454,455,414
404,414,455,456,415
405,415,456,457,416
406,416,457,458,417
407,417,458,459,418
408,418,459,460,419
409,419,460,461,420
410,420,461,462,421
411,421,462,463,422
412,422,463,464,423
413,423,464,465,424
414,424,465,466,425
415,425,466,467,426
416,426,467,468,427
417,427,468,469,428
418,428,469,470,429
419,429,470,471,430
420,430,471,472,431
421,431,472,473,432
422,432,473,474,433
423,433,474,475,434
424,434,475,476,435
425,435,476,477,436
426,436,477,478,437
427,437,478,479,438
428,438,479,480,439
429,439,480,481,440
430,440,481,482,441
431,441,482,483,442
432,442,483,484,443
433,443,484,485,444
434,444,485,486,445
435,445,486,487,446
436,446,487,488,447
437,447,488,489,448
438,448,489,490,449
439,449,490,491,450
440,451,492,493,452
441,452,493,494,453
442,453,494,495,454
443,454,495,496,455
444,455,496,497,456
445,456,497,498,457
446,457,498,499,458
447,458,499,500,459
448,459,500,501,460
449,460,501,502,461
450,461,502,503,462
451,462,503,504,463
452,463,504,505,464
453,464,505,506,465
454,465,506,507,466
455,466,507,508,467
456,467,508,509,468
457,468,509,510,469
458,469,510,511,470
459,470,511,512,471
460,471,512,513,472
461,472,513,514,473
462,473,514,515,474
463,474,515,516,475
464,475,516,517,476
465,476,517,518,477
466,477,518,519,478
