ID,u,v
0,0,0
1,0,1
2,0,2
3,0,3
4,0,4
5,0,5
6,0,6
7,0,7
8,0,8
9,0,9
10,0,10
11,0,11
12,0,12
13,0,13
14,0,14
15,0,15
16,0,16
17,0,17
18,0,18
19,0,19
20,0,20
21,0,21
22,0,22
23,0,23
24,0,24
25,0,25
26,0,26
27,0,27
28,0,28
29,0,29
30,0,30
31,0,31
32,0,32
33,0,33
34,0,34
35,0,35
36,0,36
37,0,37
38,0,38
39,0,39
40,0,40
41,0,41
42,0,42
43,0,43
44,0,44
45,0,45
46,0,46
47,0,47
48,0,48
49,0,49
50,0,50
4134,0,0.5
4137,0,1.5
4140,0,2.5
4143,0,3.5
4146,0,4.5
4149,0,5.5
4152,0,6.5
4155,0,7.5
4158,0,8.5
4161,0,9.5
4164,0,10.5
4167,0,11.5
4170,0,12.5
4173,0,13.5
4176,0,14.5
4179,0,15.5
4182,0,16.5
4185,0,17.5
4188,0,18.5
4191,0,19.5
4194,0,20.5
4197,0,21.5
4200,0,22.5
4203,0,23.5
4206,0,24.5
4209,0,25.5
4212,0,26.5
4215,0,27.5
4218,0,28.5
4221,0,29.5
4224,0,30.5
4227,0,31.5
4230,0,32.5
4233,0,33.5
4236,0,34.5
4239,0,35.5
4242,0,36.5
4245,0,37.5
4248,0,38.5
4251,0,39.5
4254,0,40.5
4257,0,41.5
4260,0,42.5
4263,0,43.5
4266,0,44.5
4269,0,45.5
4272,0,46.5
4275,0,47.5
4278,0,48.5
4281,0,49.5
