ID,u0,u1
4920,free,0
0,0,free
1,0,free
2,0,free
3,0,free
4,0,free
5,0,free
6,0,free
7,0,free
8,0,free
9,0,free
10,0,free
11,0,free
12,0,free
13,0,free
14,0,free
15,0,free
16,0,free
17,0,free
18,0,free
19,0,free
20,0,free
21,0,free
22,0,free
23,0,free
24,0,free
25,0,free
26,0,free
27,0,free
28,0,free
29,0,free
30,0,free
31,0,free
32,0,free
33,0,free
34,0,free
35,0,free
36,0,free
37,0,free
38,0,free
39,0,free
40,0,free
4964,0,free
4967,0,free
4970,0,free
4973,0,free
4976,0,free
4979,0,free
4982,0,free
4985,0,free
4988,0,free
4991,0,free
4994,0,free
4997,0,free
5000,0,free
5003,0,free
5006,0,free
5009,0,free
5012,0,free
5015,0,free
5018,0,free
5021,0,free
5024,0,free
5027,0,free
5030,0,free
5033,0,free
5036,0,free
5039,0,free
5042,0,free
5045,0,free
5048,0,free
5051,0,free
5054,0,free
5057,0,free
5060,0,free
5063,0,free
5066,0,free
5069,0,free
5072,0,free
5075,0,free
5078,0,free
5081,0,free
