ID,x0,x1
0,0.0,0.0
1,0.0,1.0
2,0.0,2.0
3,0.0,3.0
4,0.0,4.0
5,0.0,5.0
6,0.0,6.0
7,0.0,7.0
8,0.0,8.0
9,0.0,9.0
10,0.0,10.0
11,0.0,11.0
12,0.0,12.0
13,0.0,13.0
14,0.0,14.0
15,0.0,15.0
16,0.0,16.0
17,0.0,17.0
18,0.0,18.0
19,0.0,19.0
20,0.0,20.0
21,1.0,0.0
22,1.0,1.0
23,1.0,2.0
24,1.0,3.0
25,1.0,4.0
26,1.0,5.0
27,1.0,6.0
28,1.0,7.0
29,1.0,8.0
30,1.0,9.0
31,1.0,10.0
32,1.0,11.0
33,1.0,12.0
34,1.0,13.0
35,1.0,14.0
36,1.0,15.0
37,1.0,16.0
38,1.0,17.0
39,1.0,18.0
40,1.0,19.0
41,1.0,20.0
42,2.0,0.0
43,2.0,1.0
44,2.0,2.0
45,2.0,3.0
46,2.0,4.0
47,2.0,5.0
48,2.0,6.0
49,2.0,7.0
50,2.0,8.0
51,2.0,9.0
52,2.0,10.0
53,2.0,11.0
54,2.0,12.0
55,2.0,13.0
56,2.0,14.0
57,2.0,15.0
58,2.0,16.0
59,2.0,17.0
60,2.0,18.0
61,2.0,19.0
62,2.0,20.0
63,3.0,0.0
64,3.0,1.0
65,3.0,2.0
66,3.0,3.0
67,3.0,4.0
68,3.0,5.0
69,3.0,6.0
70,3.0,7.0
71,3.0,8.0
72,3.0,9.0
73,3.0,10.0
74,3.0,11.0
75,3.0,12.0
76,3.0,13.0
77,3.0,14.0
78,3.0,15.0
79,3.0,16.0
80,3.0,17.0
81,3.0,18.0
82,3.0,19.0
83,3.0,20.0
84,4.0,0.0
85,4.0,1.0
86,4.0,2.0
87,4.0,3.0
88,4.0,4.0
89,4.0,5.0
90,4.0,6.0
91,4.0,7.0
92,4.0,8.0
93,4.0,9.0
94,4.0,10.0
95,4.0,11.0
96,4.0,12.0
97,4.0,13.0
98,4.0,14.0
99,4.0,15.0
100,4.0,16.0
101,4.0,17.0
102,4.0,18.0
103,4.0,19.0
104,4.0,20.0
105,5.0,0.0
106,5.0,1.0
107,5.0,2.0
108,5.0,3.0
109,5.0,4.0
110,5.0,5.0
111,5.0,6.0
112,5.0,7.0
113,5.0,8.0
114,5.0,9.0
115,5.0,10.0
116,5.0,11.0
117,5.0,12.0
118,5.0,13.0
119,5.0,14.0
120,5.0,15.0
121,5.0,16.0
122,5.0,17.0
123,5.0,18.0
124,5.0,19.0
125,5.0,20.0
126,6.0,0.0
127,6.0,1.0
128,6.0,2.0
129,6.0,3.0
130,6.0,4.0
131,6.0,5.0
132,6.0,6.0
133,6.0,7.0
134,6.0,8.0
135,6.0,9.0
136,6.0,10.0
137,6.0,11.0
138,6.0,12.0
139,6.0,13.0
140,6.0,14.0
141,6.0,15.0
142,6.0,16.0
143,6.0,17.0
144,6.0,18.0
145,6.0,19.0
146,6.0,20.0
147,7.0,0.0
148,7.0,1.0
149,7.0,2.0
150,7.0,3.0
151,7.0,4.0
152,7.0,5.0
153,7.0,6.0
154,7.0,7.0
155,7.0,8.0
156,7.0,9.0
157,7.0,10.0
158,7.0,11.0
159,7.0,12.0
160,7.0,13.0
161,7.0,14.0
162,7.0,15.0
163,7.0,16.0
164,7.0,17.0
165,7.0,18.0
166,7.0,19.0
167,7.0,20.0
168,8.0,0.0
169,8.0,1.0
170,8.0,2.0
171,8.0,3.0
172,8.0,4.0
173,8.0,5.0
174,8.0,6.0
175,8.0,7.0
176,8.0,8.0
177,8.0,9.0
178,8.0,10.0
179,8.0,11.0
180,8.0,12.0
181,8.0,13.0
182,8.0,14.0
183,8.0,15.0
184,8.0,16.0
185,8.0,17.0
186,8.0,18.0
187,8.0,19.0
188,8.0,20.0
189,9.0,0.0
190,9.0,1.0
191,9.0,2.0
192,9.0,3.0
193,9.0,4.0
194,9.0,5.0
195,9.0,6.0
196,9.0,7.0
197,9.0,8.0
198,9.0,9.0
199,9.0,10.0
200,9.0,11.0
201,9.0,12.0
202,9.0,13.0
203,9.0,14.0
204,9.0,15.0
205,9.0,16.0
206,9.0,17.0
207,9.0,18.0
208,9.0,19.0
209,9.0,20.0
210,10.0,0.0
211,10.0,1.0
212,10.0,2.0
213,10.0,3.0
214,10.0,4.0
215,10.0,5.0
216,10.0,6.0
217,10.0,7.0
218,10.0,8.0
219,10.0,9.0
220,10.0,10.0
221,10.0,11.0
222,10.0,12.0
223,10.0,13.0
224,10.0,14.0
225,10.0,15.0
226,10.0,16.0
227,10.0,17.0
228,10.0,18.0
229,10.0,19.0
230,10.0,20.0
231,11.0,0.0
232,11.0,1.0
233,11.0,2.0
234,11.0,3.0
235,11.0,4.0
236,11.0,5.0
237,11.0,6.0
238,11.0,7.0
239,11.0,8.0
240,11.0,9.0
241,11.0,10.0
242,11.0,11.0
243,11.0,12.0
244,11.0,13.0
245,11.0,14.0
246,11.0,15.0
247,11.0,16.0
248,11.0,17.0
249,11.0,18.0
250,11.0,19.0
251,11.0,20.0
252,12.0,0.0
253,12.0,1.0
254,12.0,2.0
255,12.0,3.0
256,12.0,4.0
257,12.0,5.0
258,12.0,6.0
259,12.0,7.0
260,12.0,8.0
261,12.0,9.0
262,12.0,10.0
263,12.0,11.0
264,12.0,12.0
265,12.0,13.0
266,12.0,14.0
267,12.0,15.0
268,12.0,16.0
269,12.0,17.0
270,12.0,18.0
271,12.0,19.0
272,12.0,20.0
273,13.0,0.0
274,13.0,1.0
275,13.0,2.0
276,13.0,3.0
277,13.0,4.0
278,13.0,5.0
279,13.0,6.0
280,13.0,7.0
281,13.0,8.0
282,13.0,9.0
283,13.0,10.0
284,13.0,11.0
285,13.0,12.0
286,13.0,13.0
287,13.0,14.0
288,13.0,15.0
289,13.0,16.0
290,13.0,17.0
291,13.0,18.0
292,13.0,19.0
293,13.0,20.0
294,14.0,0.0
295,14.0,1.0
296,14.0,2.0
297,14.0,3.0
298,14.0,4.0
299,14.0,5.0
300,14.0,6.0
301,14.0,7.0
302,14.0,8.0
303,14.0,9.0
304,14.0,10.0
305,14.0,11.0
306,14.0,12.0
307,14.0,13.0
308,14.0,14.0
309,14.0,15.0
310,14.0,16.0
311,14.0,17.0
312,14.0,18.0
313,14.0,19.0
314,14.0,20.0
315,15.0,0.0
316,15.0,1.0
317,15.0,2.0
318,15.0,3.0
319,15.0,4.0
320,15.0,5.0
321,15.0,6.0
322,15.0,7.0
323,15.0,8.0
324,15.0,9.0
325,15.0,10.0
326,15.0,11.0
327,15.0,12.0
328,15.0,13.0
329,15.0,14.0
330,15.0,15.0
331,15.0,16.0
332,15.0,17.0
333,15.0,18.0
334,15.0,19.0
335,15.0,20.0
336,16.0,0.0
337,16.0,1.0
338,16.0,2.0
339,16.0,3.0
340,16.0,4.0
341,16.0,5.0
342,16.0,6.0
343,16.0,7.0
344,16.0,8.0
345,16.0,9.0
346,16.0,10.0
347,16.0,11.0
348,16.0,12.0
349,16.0,13.0
350,16.0,14.0
351,16.0,15.0
352,16.0,16.0
353,16.0,17.0
354,16.0,18.0
355,16.0,19.0
356,16.0,20.0
357,17.0,0.0
358,17.0,1.0
359,17.0,2.0
360,17.0,3.0
361,17.0,4.0
362,17.0,5.0
363,17.0,6.0
364,17.0,7.0
365,17.0,8.0
366,17.0,9.0
367,17.0,10.0
368,17.0,11.0
369,17.0,12.0
370,17.0,13.0
371,17.0,14.0
372,17.0,15.0
373,17.0,16.0
374,17.0,17.0
375,17.0,18.0
376,17.0,19.0
377,17.0,20.0
378,18.0,0.0
379,18.0,1.0
380,18.0,2.0
381,18.0,3.0
382,18.0,4.0
383,18.0,5.0
384,18.0,6.0
385,18.0,7.0
386,18.0,8.0
387,18.0,9.0
388,18.0,10.0
389,18.0,11.0
390,18.0,12.0
391,18.0,13.0
392,18.0,14.0
393,18.0,15.0
394,18.0,16.0
395,18.0,17.0
396,18.0,18.0
397,18.0,19.0
398,18.0,20.0
399,19.0,0.0
400,19.0,1.0
401,19.0,2.0
402,19.0,3.0
403,19.0,4.0
404,19.0,5.0
405,19.0,6.0
406,19.0,7.0
407,19.0,8.0
408,19.0,9.0
