ID,x0,x1,x2
0,0,0,0
1,2.5,0,0
2,5,0,0
3,7.5,0,0
4,10,0,0
5,12.5,0,0
6,15,0,0
7,17.5,0,0
8,20,0,0
9,22.5,0,0
10,25,0,0
11,0,2.5,0
12,2.5,2.5,0
13,5,2.5,0
14,7.5,2.5,0
15,10,2.5,0
16,12.5,2.5,0
17,15,2.5,0
18,17.5,2.5,0
19,20,2.5,0
20,22.5,2.5,0
21,25,2.5,0
22,0,5,0
23,2.5,5,0
24,5,5,0
25,7.5,5,0
26,10,5,0
27,12.5,5,0
28,15,5,0
29,17.5,5,0
30,20,5,0
31,22.5,5,0
32,25,5,0
33,0,7.5,0
34,2.5,7.5,0
35,5,7.5,0
36,7.5,7.5,0
37,10,7.5,0
38,12.5,7.5,0
39,15,7.5,0
40,17.5,7.5,0
41,20,7.5,0
42,22.5,7.5,0
43,25,7.5,0
44,0,10,0
45,2.5,10,0
46,5,10,0
47,7.5,10,0
48,10,10,0
49,12.5,10,0
50,15,10,0
51,17.5,10,0
52,20,10,0
53,22.5,10,0
54,25,10,0
55,0,12.5,0
56,2.5,12.5,0
57,5,12.5,0
58,7.5,12.5,0
59,10,12.5,0
60,12.5,12.5,0
61,15,12.5,0
62,17.5,12.5,0
63,20,12.5,0
64,22.5,12.5,0
65,25,12.5,0
66,0,15,0
67,2.5,15,0
68,5,15,0
69,7.5,15,0
70,10,15,0
71,12.5,15,0
72,15,15,0
73,17.5,15,0
74,20,15,0
75,22.5,15,0
76,25,15,0
77,0,17.5,0
78,2.5,17.5,0
79,5,17.5,0
80,7.5,17.5,0
81,10,17.5,0
82,12.5,17.5,0
83,15,17.5,0
84,17.5,17.5,0
85,20,17.5,0
86,22.5,17.5,0
87,25,17.5,0
88,0,20,0
89,2.5,20,0
90,5,20,0
91,7.5,20,0
92,10,20,0
93,12.5,20,0
94,15,20,0
95,17.5,20,0
96,20,20,0
97,22.5,20,0
98,25,20,0
99,0,22.5,0
100,2.5,22.5,0
101,5,22.5,0
102,7.5,22.5,0
103,10,22.5,0
104,12.5,22.5,0
105,15,22.5,0
106,17.5,22.5,0
107,20,22.5,0
108,22.5,22.5,0
109,25,22.5,0
110,0,25,0
111,2.5,25,0
112,5,25,0
113,7.5,25,0
114,10,25,0
115,12.5,25,0
116,15,25,0
117,17.5,25,0
118,20,25,0
119,22.5,25,0
120,25,25,0
121,0,27.5,0
122,2.5,27.5,0
123,5,27.5,0
124,7.5,27.5,0
125,10,27.5,0
126,12.5,27.5,0
127,15,27.5,0
128,17.5,27.5,0
129,20,27.5,0
130,22.5,27.5,0
131,25,27.5,0
132,0,30,0
133,2.5,30,0
134,5,30,0
135,7.5,30,0
136,10,30,0
137,12.5,30,0
138,15,30,0
139,17.5,30,0
140,20,30,0
141,22.5,30,0
142,25,30,0
143,0,32.5,0
144,2.5,32.5,0
145,5,32.5,0
146,7.5,32.5,0
147,10,32.5,0
148,12.5,32.5,0
149,15,32.5,0
150,17.5,32.5,0
151,20,32.5,0
152,22.5,32.5,0
153,25,32.5,0
154,0,35,0
155,2.5,35,0
156,5,35,0
157,7.5,35,0
158,10,35,0
159,12.5,35,0
160,15,35,0
161,17.5,35,0
162,20,35,0
163,22.5,35,0
164,25,35,0
165,0,37.5,0
166,2.5,37.5,0
167,5,37.5,0
168,7.5,37.5,0
169,10,37.5,0
170,12.5,37.5,0
171,15,37.5,0
