ID,x0,x1
0,0,0
1,0,0.5
2,0,1
3,0,1.5
4,0,2
5,5,0
6,5,0.5
7,5,1
8,5,1.5
9,5,2
10,10,0
11,10,0.5
12,10,1
13,10,1.5
14,10,2
15,15,0
16,15,0.5
17,15,1
18,15,1.5
19,15,2
20,20,0
21,20,0.5
22,20,1
23,20,1.5
24,20,2
25,25,0
26,25,0.5
27,25,1
28,25,1.5
29,25,2
30,30,0
31,30,0.5
32,30,1
33,30,1.5
34,30,2
35,35,0
36,35,0.5
37,35,1
38,35,1.5
39,35,2
40,40,0
41,40,0.5
42,40,1
43,40,1.5
44,40,2
45,45,0
46,45,0.5
47,45,1
48,45,1.5
49,45,2
50,50,0
51,50,0.5
52,50,1
53,50,1.5
54,50,2
55,2.5,0
56,5,0.25
57,2.5,0.5
58,0,0.25
59,5,0.75
60,2.5,1
61,0,0.75
62,5,1.25
63,2.5,1.5
64,0,1.25
65,5,1.75
66,2.5,2
67,0,1.75
68,7.5,0
69,10,0.25
70,7.5,0.5
71,10,0.75
72,7.5,1
73,10,1.25
74,7.5,1.5
75,10,1.75
76,7.5,2
77,12.5,0
78,15,0.25
79,12.5,0.5
80,15,0.75
81,12.5,1
82,15,1.25
83,12.5,1.5
84,15,1.75
85,12.5,2
86,17.5,0
87,20,0.25
88,17.5,0.5
89,20,0.75
90,17.5,1
91,20,1.25
92,17.5,1.5
93,20,1.75
94,17.5,2
95,22.5,0
96,25,0.25
97,22.5,0.5
98,25,0.75
99,22.5,1
100,25,1.25
101,22.5,1.5
102,25,1.75
103,22.5,2
104,27.5,0
105,30,0.25
106,27.5,0.5
107,30,0.75
108,27.5,1
109,30,1.25
110,27.5,1.5
111,30,1.75
112,27.5,2
113,32.5,0
114,35,0.25
115,32.5,0.5
116,35,0.75
117,32.5,1
118,35,1.25
119,32.5,1.5
120,35,1.75
121,32.5,2
122,37.5,0
123,40,0.25
124,37.5,0.5
125,40,0.75
126,37.5,1
127,40,1.25
128,37.5,1.5
129,40,1.75
130,37.5,2
131,42.5,0
132,45,0.25
133,42.5,0.5
134,45,0.75
135,42.5,1
136,45,1.25
137,42.5,1.5
138,45,1.75
139,42.5,2
140,47.5,0
141,50,0.25
142,47.5,0.5
143,50,0.75
144,47.5,1
145,50,1.25
146,47.5,1.5
147,50,1.75
148,47.5,2
